Nome do Arquivo,Rotulos
@bolsonaromessiasjair7063249034084928774.jpg,"[{'Nome': 'Head', 'porcentagem': 99.98726654052734}, {'Nome': 'Person', 'porcentagem': 99.98726654052734}, {'Nome': 'Face', 'porcentagem': 99.98094177246094}, {'Nome': 'Adult', 'porcentagem': 98.0712661743164}, {'Nome': 'Male', 'porcentagem': 98.0712661743164}, {'Nome': 'Man', 'porcentagem': 98.0712661743164}, {'Nome': 'Crowd', 'porcentagem': 97.93221282958984}, {'Nome': 'People', 'porcentagem': 93.23322296142578}, {'Nome': 'Clothing', 'porcentagem': 80.04441833496094}, {'Nome': 'Coat', 'porcentagem': 80.04441833496094}, {'Nome': 'Happy', 'porcentagem': 62.12416458129883}, {'Nome': 'Laughing', 'porcentagem': 62.12416458129883}, {'Nome': 'Press Conference', 'porcentagem': 56.440269470214844}, {'Nome': 'Photography', 'porcentagem': 55.767269134521484}, {'Nome': 'Portrait', 'porcentagem': 55.767269134521484}, {'Nome': 'Blazer', 'porcentagem': 55.55101776123047}, {'Nome': 'Jacket', 'porcentagem': 55.55101776123047}]"
@bolsonaromessiasjair7063494774287879429.jpg,"[{'Nome': 'People', 'porcentagem': 99.77110290527344}, {'Nome': 'Person', 'porcentagem': 99.77110290527344}, {'Nome': 'Adult', 'porcentagem': 97.43912506103516}, {'Nome': 'Male', 'porcentagem': 97.43912506103516}, {'Nome': 'Man', 'porcentagem': 97.43912506103516}, {'Nome': 'Head', 'porcentagem': 96.16281127929688}, {'Nome': 'Face', 'porcentagem': 95.4327621459961}, {'Nome': 'Play Area', 'porcentagem': 78.74774169921875}, {'Nome': 'Happy', 'porcentagem': 70.8047103881836}, {'Nome': 'Balloon', 'porcentagem': 57.210086822509766}, {'Nome': 'Indoors', 'porcentagem': 56.33717346191406}, {'Nome': 'Photography', 'porcentagem': 56.09138488769531}, {'Nome': 'Portrait', 'porcentagem': 56.09138488769531}]"
@bolsonaromessiasjair7063796844056349958.jpg,"[{'Nome': 'Accessories', 'porcentagem': 99.99476623535156}, {'Nome': 'Formal Wear', 'porcentagem': 99.99476623535156}, {'Nome': 'Tie', 'porcentagem': 99.99476623535156}, {'Nome': 'People', 'porcentagem': 99.31456756591797}, {'Nome': 'Person', 'porcentagem': 99.31456756591797}, {'Nome': 'Adult', 'porcentagem': 98.09991455078125}, {'Nome': 'Male', 'porcentagem': 98.09991455078125}, {'Nome': 'Man', 'porcentagem': 98.09991455078125}, {'Nome': 'Blazer', 'porcentagem': 95.44097900390625}, {'Nome': 'Clothing', 'porcentagem': 95.44097900390625}, {'Nome': 'Coat', 'porcentagem': 95.44097900390625}, {'Nome': 'Jacket', 'porcentagem': 95.44097900390625}, {'Nome': 'Crowd', 'porcentagem': 90.07263946533203}, {'Nome': 'Necktie', 'porcentagem': 83.54607391357422}, {'Nome': 'Face', 'porcentagem': 80.50334930419922}, {'Nome': 'Head', 'porcentagem': 80.50334930419922}, {'Nome': 'Photography', 'porcentagem': 80.50334930419922}, {'Nome': 'Portrait', 'porcentagem': 80.50334930419922}, {'Nome': 'Indoors', 'porcentagem': 60.09895324707031}, {'Nome': 'Suit', 'porcentagem': 57.76982879638672}, {'Nome': 'Shirt', 'porcentagem': 55.83290481567383}, {'Nome': 'Audience', 'porcentagem': 55.737770080566406}, {'Nome': 'Lecture', 'porcentagem': 55.737770080566406}, {'Nome': 'Text', 'porcentagem': 55.224674224853516}]"
@bolsonaromessiasjair7064002614374976774.jpg,"[{'Nome': 'Accessories', 'porcentagem': 100.0}, {'Nome': 'Formal Wear', 'porcentagem': 100.0}, {'Nome': 'Tie', 'porcentagem': 100.0}, {'Nome': 'Face', 'porcentagem': 99.99972534179688}, {'Nome': 'Head', 'porcentagem': 99.99972534179688}, {'Nome': 'Person', 'porcentagem': 99.99972534179688}, {'Nome': 'Photography', 'porcentagem': 99.99972534179688}, {'Nome': 'Portrait', 'porcentagem': 99.99972534179688}, {'Nome': 'Adult', 'porcentagem': 99.65927124023438}, {'Nome': 'Male', 'porcentagem': 99.65927124023438}, {'Nome': 'Man', 'porcentagem': 99.65927124023438}, {'Nome': 'Necktie', 'porcentagem': 99.14309692382812}, {'Nome': 'Clothing', 'porcentagem': 98.29014587402344}, {'Nome': 'Suit', 'porcentagem': 98.29014587402344}, {'Nome': 'Frown', 'porcentagem': 76.84379577636719}, {'Nome': 'Sad', 'porcentagem': 76.84379577636719}, {'Nome': 'People', 'porcentagem': 66.66962432861328}, {'Nome': 'Indoors', 'porcentagem': 57.906105041503906}, {'Nome': 'Crowd', 'porcentagem': 57.698936462402344}, {'Nome': 'Shirt', 'porcentagem': 56.17671585083008}, {'Nome': 'Coat', 'porcentagem': 55.99232864379883}, {'Nome': 'Computer Hardware', 'porcentagem': 55.93534851074219}, {'Nome': 'Electronics', 'porcentagem': 55.93534851074219}, {'Nome': 'Hardware', 'porcentagem': 55.93534851074219}, {'Nome': 'Monitor', 'porcentagem': 55.93534851074219}, {'Nome': 'Screen', 'porcentagem': 55.93534851074219}]"
@bolsonaromessiasjair7064190592317803781.jpg,"[{'Nome': 'Crowd', 'porcentagem': 99.9942626953125}, {'Nome': 'Person', 'porcentagem': 99.9942626953125}, {'Nome': 'Press Conference', 'porcentagem': 99.98868560791016}, {'Nome': 'People', 'porcentagem': 99.89717864990234}, {'Nome': 'Adult', 'porcentagem': 99.07351684570312}, {'Nome': 'Male', 'porcentagem': 99.07351684570312}, {'Nome': 'Man', 'porcentagem': 99.07351684570312}, {'Nome': 'Electrical Device', 'porcentagem': 98.69429016113281}, {'Nome': 'Microphone', 'porcentagem': 98.69429016113281}, {'Nome': 'Audience', 'porcentagem': 86.17213439941406}, {'Nome': 'Face', 'porcentagem': 80.34629821777344}, {'Nome': 'Head', 'porcentagem': 80.34629821777344}, {'Nome': 'Speech', 'porcentagem': 57.732051849365234}, {'Nome': 'Lecture', 'porcentagem': 57.12565612792969}, {'Nome': 'Clothing', 'porcentagem': 56.66552734375}, {'Nome': 'Shirt', 'porcentagem': 56.66552734375}, {'Nome': 'Accessories', 'porcentagem': 56.219600677490234}, {'Nome': 'Formal Wear', 'porcentagem': 56.219600677490234}, {'Nome': 'Tie', 'porcentagem': 56.219600677490234}, {'Nome': 'Photography', 'porcentagem': 55.2525520324707}, {'Nome': 'Portrait', 'porcentagem': 55.2525520324707}]"
@bolsonaromessiasjair7064335153807543558.jpg,"[{'Nome': 'Head', 'porcentagem': 99.99954986572266}, {'Nome': 'Person', 'porcentagem': 99.99954986572266}, {'Nome': 'Face', 'porcentagem': 99.99919891357422}, {'Nome': 'Sad', 'porcentagem': 99.44064331054688}, {'Nome': 'Crying', 'porcentagem': 98.75834655761719}, {'Nome': 'Accessories', 'porcentagem': 98.59895324707031}, {'Nome': 'Formal Wear', 'porcentagem': 98.59895324707031}, {'Nome': 'Tie', 'porcentagem': 98.59895324707031}, {'Nome': 'Adult', 'porcentagem': 98.35993957519531}, {'Nome': 'Male', 'porcentagem': 98.35993957519531}, {'Nome': 'Man', 'porcentagem': 98.35993957519531}, {'Nome': 'Clothing', 'porcentagem': 87.22931671142578}, {'Nome': 'Coat', 'porcentagem': 87.22931671142578}, {'Nome': 'Frown', 'porcentagem': 57.43477249145508}, {'Nome': 'Photography', 'porcentagem': 56.428688049316406}, {'Nome': 'Portrait', 'porcentagem': 56.428688049316406}, {'Nome': 'Necktie', 'porcentagem': 56.120025634765625}]"
@bolsonaromessiasjair7064664440586784005.jpg,"[{'Nome': 'Head', 'porcentagem': 99.81172943115234}, {'Nome': 'Person', 'porcentagem': 99.81172943115234}, {'Nome': 'Face', 'porcentagem': 99.80085754394531}, {'Nome': 'Adult', 'porcentagem': 99.44996643066406}, {'Nome': 'Male', 'porcentagem': 99.44996643066406}, {'Nome': 'Man', 'porcentagem': 99.44996643066406}, {'Nome': 'Clothing', 'porcentagem': 93.53154754638672}, {'Nome': 'Coat', 'porcentagem': 93.53154754638672}, {'Nome': 'Indoors', 'porcentagem': 79.28330993652344}, {'Nome': 'Flag', 'porcentagem': 66.8538589477539}, {'Nome': 'Jacket', 'porcentagem': 65.82141876220703}, {'Nome': 'Formal Wear', 'porcentagem': 57.505271911621094}, {'Nome': 'Suit', 'porcentagem': 57.505271911621094}, {'Nome': 'Blazer', 'porcentagem': 56.9037971496582}, {'Nome': 'People', 'porcentagem': 56.68054962158203}, {'Nome': 'Happy', 'porcentagem': 56.485862731933594}, {'Nome': 'Crowd', 'porcentagem': 56.463478088378906}, {'Nome': 'Accessories', 'porcentagem': 55.007320404052734}, {'Nome': 'Tie', 'porcentagem': 55.007320404052734}]"
@bolsonaromessiasjair7064955948019764486.jpg,"[{'Nome': 'People', 'porcentagem': 99.99325561523438}, {'Nome': 'Person', 'porcentagem': 99.99325561523438}, {'Nome': 'Adult', 'porcentagem': 99.91056060791016}, {'Nome': 'Female', 'porcentagem': 99.91056060791016}, {'Nome': 'Woman', 'porcentagem': 99.91056060791016}, {'Nome': 'Clothing', 'porcentagem': 97.60987091064453}, {'Nome': 'Coat', 'porcentagem': 97.60987091064453}, {'Nome': 'Male', 'porcentagem': 92.0594253540039}, {'Nome': 'Man', 'porcentagem': 92.0594253540039}, {'Nome': 'Officer', 'porcentagem': 78.01956939697266}, {'Nome': 'Body Part', 'porcentagem': 56.548545837402344}, {'Nome': 'Hand', 'porcentagem': 56.548545837402344}, {'Nome': 'Hugging', 'porcentagem': 55.926124572753906}, {'Nome': 'Lady', 'porcentagem': 55.730690002441406}, {'Nome': 'Funeral', 'porcentagem': 55.700828552246094}, {'Nome': 'Military', 'porcentagem': 55.45988082885742}]"
@bolsonaromessiasjair7065229955612937478.jpg,"[{'Nome': 'Clothing', 'porcentagem': 99.95915222167969}, {'Nome': 'Coat', 'porcentagem': 99.95915222167969}, {'Nome': 'Advertisement', 'porcentagem': 98.43339538574219}, {'Nome': 'Poster', 'porcentagem': 98.43339538574219}, {'Nome': 'People', 'porcentagem': 98.197021484375}, {'Nome': 'Person', 'porcentagem': 98.197021484375}, {'Nome': 'Adult', 'porcentagem': 97.56576538085938}, {'Nome': 'Male', 'porcentagem': 97.56576538085938}, {'Nome': 'Man', 'porcentagem': 97.56576538085938}, {'Nome': 'Walking', 'porcentagem': 93.09568786621094}, {'Nome': 'Formal Wear', 'porcentagem': 90.69418334960938}, {'Nome': 'Suit', 'porcentagem': 90.69418334960938}, {'Nome': 'Jacket', 'porcentagem': 82.81034088134766}, {'Nome': 'Blazer', 'porcentagem': 77.80963897705078}, {'Nome': 'Flower', 'porcentagem': 67.71051025390625}, {'Nome': 'Plant', 'porcentagem': 67.71051025390625}, {'Nome': 'Funeral', 'porcentagem': 65.44701385498047}, {'Nome': 'Potted Plant', 'porcentagem': 56.9302978515625}, {'Nome': 'Flower Arrangement', 'porcentagem': 55.119049072265625}]"
@bolsonaromessiasjair7065341195483876614.jpg,"[{'Nome': 'Adult', 'porcentagem': 98.8663101196289}, {'Nome': 'Male', 'porcentagem': 98.8663101196289}, {'Nome': 'Man', 'porcentagem': 98.8663101196289}, {'Nome': 'Person', 'porcentagem': 98.8663101196289}, {'Nome': 'Crowd', 'porcentagem': 89.66722869873047}, {'Nome': 'Accessories', 'porcentagem': 87.1121597290039}, {'Nome': 'Formal Wear', 'porcentagem': 87.1121597290039}, {'Nome': 'Tie', 'porcentagem': 87.1121597290039}, {'Nome': 'Clothing', 'porcentagem': 83.56077575683594}, {'Nome': 'Footwear', 'porcentagem': 83.56077575683594}, {'Nome': 'Shoe', 'porcentagem': 83.56077575683594}, {'Nome': 'Flag', 'porcentagem': 81.83985137939453}, {'Nome': 'Face', 'porcentagem': 70.37499237060547}, {'Nome': 'Head', 'porcentagem': 70.37499237060547}, {'Nome': 'Coat', 'porcentagem': 66.27481079101562}, {'Nome': 'Audience', 'porcentagem': 57.121395111083984}]"
