,ID,DataPost,DataColeta,DiaDaSemana,Perfil,Texto,Duracao,Duração Classificada,Event,Tie,Chin,Smile,Hat,Font,Forehead,Gesture,Joy,Person,Curtidas
15,7115908390257233157,2022-07-02 00:00:00,2022-10-02,sábado,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #ihu #brasil #brazil #deus #patria #familia #jesus #jovem #futuro #future #jair #🇧🇷 #br #young #president #presidente #liberdade,35.22,Curto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,394000
16,7115921826542292229,2022-07-02 00:00:00,2022-10-02,sábado,lulaoficial,Celebrar a #Independência da Bahia e a #democracia brasileira 🇧🇷⭐️ Foi lindo demais! #HPRadicalReuse #vamosjuntospelobrasil #lula #bahia,16.18,Muito curto,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4634
17,7116161583075560710,2022-07-03 00:00:00,2022-10-02,domingo,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #brasil #brazil #deus #patria #familia #jesus #jovem #futuro #future #jair #🇧🇷 #br #young #president #presidente #liberdade #🌷 #❤️ #freedom,45.04,Curto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5384
18,7116192377101946118,2022-07-03 00:00:00,2022-10-02,domingo,lulaoficial,"As #mulheres baianas foram #protaganistas na luta pela #independência . Afinal, lugar de mulher é onde ELA QUISER ⭐️🇧🇷❤️ #vamosjuntospelobrasil #lula",60.18,Normal,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,8871
19,7116479466896919814,2022-07-04 00:00:00,2022-10-02,segunda-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #ideias #defesa #vida #jair #brazil #brasil #🇧🇷 #diferencas #bem #mal #deus #patria #familia #ideologia #escolha #compartilhe,38.68,Curto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13700
20,7116603296168643845,2022-07-04 00:00:00,2022-10-02,segunda-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #classe #media #lula #mentira #fakenews #fakenewsdobem #400 #milhoes #presidente #entrevista #tv #lula #pt ##jair #brasil #🇧🇷 #compartilhe,60.11,Normal,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,25100
21,7116848776790166790,2022-07-05 00:00:00,2022-10-02,terça-feira,bolsonaromessiasjair,#combustiveis #gasolina #diesel #bolsonaro #reducao #jair #brasil #🇧🇷 #presidente #jairbolsonaro #presidentebolsonaro #patria #familia #alimento #abastecimento #governador #nordeste #verdade #justica #contra #o #povo #ba #pi #ma #ce #rn #pb #al #se #bahia #piaui #maranhao #ceara #riograndedonorte #paraiba #alagoas #sergipe #governadores #compartilhe,58.19,Curto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,198100
22,7117039482418892038,2022-07-05 00:00:00,2022-10-02,terça-feira,lulaoficial,O povo deve participar ativamente da governo. Só com o coletivo que a gente consegue caminhar. ⭐️🇧🇷❤️#vamosjuntospelobrasil #lula,42.07,Curto,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10200
23,7117197139758959877,2022-07-06 00:00:00,2022-10-02,quarta-feira,bolsonaromessiasjair,#auxiliobrasil #caminhoneiro #gas #brasil #🇧🇷 #reflexos #guerra #covid #fiqueemcasa #economia #auxilio #vale #imposto #reducao #zero #presidente #jairbolsonaro #jair #bolsonaro #1000 #dobro #pec #acao,23.99,Muito curto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24000
24,7117269425203514630,2022-07-06 00:00:00,2022-10-02,quarta-feira,bolsonaromessiasjair,#jairbolsonaro #verdade #brasil #🇧🇷 #jair #bolsonaro #caminho #consciencia #presidente #reflexos #compartilhe #esquerda #america #latina #vizinhos #basta #olhar,49.5,Curto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6123
